Date,Canals to Kuraz Sugar Plantations,Outflow to Lake Turkana
2031-03-18,15.43,22.56
2031-03-19,15.43,22.56
2031-03-20,15.43,22.56
2031-03-21,15.43,22.56
2031-03-22,15.43,22.56
2031-03-23,15.43,22.56
2031-03-24,15.43,22.56
2031-03-25,15.43,22.56
2031-03-26,15.43,22.56
2031-03-27,15.43,22.56
2031-03-28,15.43,22.56
2031-03-29,15.43,22.56
2031-03-30,15.43,22.56
2031-03-31,15.43,22.56
2031-04-01,0.0,32.59
2031-04-02,0.0,32.59
2031-04-03,0.0,32.59
2031-04-04,0.0,32.59
2031-04-05,0.0,32.59
2031-04-06,0.0,32.59
2031-04-07,0.0,32.59
2031-04-08,0.0,32.59
2031-04-09,0.0,32.59
2031-04-10,0.0,32.59
2031-04-11,0.0,32.59
2031-04-12,0.0,32.59
2031-04-13,0.0,32.59
2031-04-14,0.0,32.59
2031-04-15,0.0,32.59
2031-04-16,0.0,32.59
2031-04-17,0.0,32.59
2031-04-18,0.0,32.59
2031-04-19,0.0,32.59
2031-04-20,0.0,32.59
2031-04-21,0.0,32.59
2031-04-22,0.0,32.59
2031-04-23,0.0,32.59
2031-04-24,0.0,32.59
2031-04-25,0.0,32.59
2031-04-26,0.0,32.59
2031-04-27,0.0,32.59
2031-04-28,0.0,32.59
2031-04-29,0.0,32.59
2031-04-30,0.0,32.59
2031-05-01,17.49,48.89
2031-05-02,17.49,48.89
2031-05-03,17.49,48.89
2031-05-04,17.49,48.89
2031-05-05,17.49,48.89
2031-05-06,17.49,48.89
2031-05-07,17.49,48.89
2031-05-08,17.49,48.89
2031-05-09,17.49,48.89
2031-05-10,17.49,48.89
2031-05-11,17.49,48.89
2031-05-12,17.49,48.89
2031-05-13,17.49,48.89
2031-05-14,17.49,48.89
2031-05-15,17.49,48.89
2031-05-16,17.49,48.89
2031-05-17,17.49,48.89
2031-05-18,17.49,48.89
2031-05-19,17.49,48.89
2031-05-20,17.49,48.89
2031-05-21,17.49,48.89
2031-05-22,17.49,48.89
2031-05-23,17.49,48.89
2031-05-24,17.49,48.89
2031-05-25,17.49,48.89
2031-05-26,17.49,48.89
2031-05-27,17.49,48.89
2031-05-28,17.49,48.89
2031-05-29,17.49,48.89
2031-05-30,17.49,48.89
2031-05-31,17.49,48.89
2031-06-01,17.49,106.43
2031-06-02,17.49,106.43
2031-06-03,17.49,106.43
2031-06-04,17.49,106.43
2031-06-05,17.49,106.43
2031-06-06,17.49,106.43
2031-06-07,17.49,106.43
2031-06-08,17.49,106.43
2031-06-09,17.49,106.43
2031-06-10,17.49,106.43
2031-06-11,17.49,106.43
2031-06-12,17.49,106.43
2031-06-13,17.49,106.43
2031-06-14,17.49,106.43
2031-06-15,17.49,106.43
2031-06-16,17.49,106.43
2031-06-17,17.49,106.43
2031-06-18,17.49,106.43
2031-06-19,17.49,106.43
2031-06-20,17.49,106.43
2031-06-21,17.49,106.43
2031-06-22,17.49,106.43
2031-06-23,17.49,106.43
2031-06-24,17.49,106.43
2031-06-25,17.49,106.43
2031-06-26,17.49,106.43
2031-06-27,17.49,106.43
2031-06-28,17.49,106.43
2031-06-29,17.49,106.43
2031-06-30,17.49,106.43
2031-07-01,29.84,322.68
2031-07-02,29.84,322.68
2031-07-03,29.84,322.68
2031-07-04,29.84,322.68
2031-07-05,29.84,322.68
2031-07-06,29.84,322.68
2031-07-07,29.84,322.68
2031-07-08,29.84,322.68
2031-07-09,29.84,322.68
2031-07-10,29.84,322.68
2031-07-11,29.84,322.68
2031-07-12,29.84,322.68
2031-07-13,29.84,322.68
2031-07-14,29.84,322.68
2031-07-15,29.84,322.68
2031-07-16,29.84,322.68
2031-07-17,29.84,322.68
2031-07-18,29.84,322.68
2031-07-19,29.84,322.68
2031-07-20,29.84,322.68
2031-07-21,29.84,322.68
2031-07-22,29.84,322.68
2031-07-23,29.84,322.68
2031-07-24,29.84,322.68
2031-07-25,29.84,322.68
2031-07-26,29.84,322.68
2031-07-27,29.84,322.68
2031-07-28,29.84,322.68
2031-07-29,29.84,322.68
2031-07-30,29.84,322.68
2031-07-31,29.84,322.68
2031-08-01,54.53,522.68
2031-08-02,54.53,522.68
2031-08-03,54.53,522.68
2031-08-04,54.53,522.68
2031-08-05,54.53,522.68
2031-08-06,54.53,522.68
2031-08-07,54.53,522.68
2031-08-08,54.53,522.68
2031-08-09,54.53,522.68
2031-08-10,54.53,522.68
2031-08-11,54.53,522.68
2031-08-12,54.53,522.68
2031-08-13,54.53,522.68
2031-08-14,54.53,522.68
2031-08-15,54.53,522.68
2031-08-16,54.53,522.68
2031-08-17,54.53,522.68
2031-08-18,54.53,522.68
2031-08-19,54.53,522.68
2031-08-20,54.53,522.68
2031-08-21,54.53,522.68
2031-08-22,54.53,522.68
2031-08-23,54.53,522.68
2031-08-24,54.53,522.68
2031-08-25,54.53,522.68
2031-08-26,54.53,522.68
2031-08-27,54.53,522.68
2031-08-28,54.53,522.68
2031-08-29,54.53,522.68
2031-08-30,54.53,522.68
2031-08-31,54.53,522.68
2031-09-01,48.35,328.39
2031-09-02,48.35,328.39
2031-09-03,48.35,328.39
2031-09-04,48.35,328.39
2031-09-05,48.35,328.39
2031-09-06,48.35,328.39
2031-09-07,48.35,328.39
2031-09-08,48.35,328.39
2031-09-09,48.35,328.39
2031-09-10,48.35,328.39
2031-09-11,48.35,328.39
2031-09-12,48.35,328.39
2031-09-13,48.35,328.39
2031-09-14,48.35,328.39
2031-09-15,48.35,328.39
2031-09-16,48.35,328.39
2031-09-17,48.35,328.39
2031-09-18,48.35,328.39
2031-09-19,48.35,328.39
2031-09-20,48.35,328.39
2031-09-21,48.35,328.39
2031-09-22,48.35,328.39
2031-09-23,48.35,328.39
2031-09-24,48.35,328.39
2031-09-25,48.35,328.39
2031-09-26,48.35,328.39
2031-09-27,48.35,328.39
2031-09-28,48.35,328.39
2031-09-29,48.35,328.39
2031-09-30,48.35,328.39
2031-10-01,75.62,175.44
2031-10-02,75.62,175.44
2031-10-03,75.62,175.44
2031-10-04,75.62,175.44
2031-10-05,75.62,175.44
2031-10-06,75.62,175.44
2031-10-07,75.62,175.44
2031-10-08,75.62,175.44
2031-10-09,75.62,175.44
2031-10-10,75.62,175.44
2031-10-11,75.62,175.44
2031-10-12,75.62,175.44
2031-10-13,75.62,175.44
2031-10-14,75.62,175.44
2031-10-15,75.62,175.44
2031-10-16,75.62,175.44
2031-10-17,75.62,175.44
2031-10-18,75.62,175.44
2031-10-19,75.62,175.44
2031-10-20,75.62,175.44
2031-10-21,75.62,175.44
2031-10-22,75.62,175.44
2031-10-23,75.62,175.44
2031-10-24,75.62,175.44
2031-10-25,75.62,175.44
2031-10-26,75.62,175.44
2031-10-27,75.62,175.44
2031-10-28,75.62,175.44
2031-10-29,75.62,175.44
2031-10-30,75.62,175.44
2031-10-31,75.62,175.44
2031-11-01,105.45,76.92
2031-11-02,105.45,76.92
2031-11-03,105.45,76.92
2031-11-04,105.45,76.92
2031-11-05,105.45,76.92
2031-11-06,105.45,76.92
2031-11-07,105.45,76.92
2031-11-08,105.45,76.92
2031-11-09,105.45,76.92
2031-11-10,105.45,76.92
2031-11-11,105.45,76.92
2031-11-12,105.45,76.92
2031-11-13,105.45,76.92
2031-11-14,105.45,76.92
2031-11-15,105.45,76.92
2031-11-16,105.45,76.92
2031-11-17,105.45,76.92
2031-11-18,105.45,76.92
2031-11-19,105.45,76.92
2031-11-20,105.45,76.92
2031-11-21,105.45,76.92
2031-11-22,105.45,76.92
2031-11-23,105.45,76.92
2031-11-24,105.45,76.92
2031-11-25,105.45,76.92
2031-11-26,105.45,76.92
2031-11-27,105.45,76.92
2031-11-28,105.45,76.92
2031-11-29,105.45,76.92
2031-11-30,105.45,76.92
2031-12-01,104.42,38.79
2031-12-02,104.42,38.79
2031-12-03,104.42,38.79
2031-12-04,104.42,38.79
2031-12-05,104.42,38.79
2031-12-06,104.42,38.79
2031-12-07,104.42,38.79
2031-12-08,104.42,38.79
2031-12-09,104.42,38.79
2031-12-10,104.42,38.79
2031-12-11,104.42,38.79
2031-12-12,104.42,38.79
2031-12-13,104.42,38.79
2031-12-14,104.42,38.79
2031-12-15,104.42,38.79
2031-12-16,104.42,38.79
2031-12-17,104.42,38.79
2031-12-18,104.42,38.79
2031-12-19,104.42,38.79
2031-12-20,104.42,38.79
2031-12-21,104.42,38.79
2031-12-22,104.42,38.79
2031-12-23,104.42,38.79
2031-12-24,104.42,38.79
2031-12-25,104.42,38.79
2031-12-26,104.42,38.79
2031-12-27,104.42,38.79
2031-12-28,104.42,38.79
2031-12-29,104.42,38.79
2031-12-30,104.42,38.79
2031-12-31,104.42,38.79
